Ref,Val,Package,PosX,PosY,Rot,Side
"J1","FM20C06VBNN","FM20C06VBNN",141.000000,-114.000000,90.000000,top
"J2","FM20C06VBNN","FM20C06VBNN",179.005000,-114.000000,-90.000000,top
"U1","CY8C5888LTQ-LP097","QFN40P800X800X100-69N",117.915000,-113.900000,0.000000,top
"U3","DRV8833PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",155.350000,-121.600000,0.000000,top
"U4","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",159.750000,-110.250000,0.000000,top
"U5","NC1000C","NC1000c",196.410000,-111.320000,0.000000,top
