Designator,Mid X,Mid Y,Rotation,Layer
C1,52.42,-84.68,270.0,top
C2,57.77,-66.915,90.0,top
D1,62.78,-65.92,0.0,top
J2,103.7,-86.3,0.0,top
R1,65.54,-85.36,90.0,top
R2,59.67,-65.93,180.0,top
U1,63.42,-84.43,180.0,top
